brand,model,model_year,mileage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price
BMW,M5 Base,2018,41000,Gasoline,Transmission w/Dual Shift Mode,White,White,None reported,Yes,60200
Nissan,Titan SE,2009,127600,E85 Flex Fuel,Automatic,Brown,Gray,None reported,Yes,19500
Dodge,Ram 1500 SRT-10 Quad Cab,2005,138450,Gasoline,Automatic,Red,Black,At least 1 accident or damage reported,Yes,19000
GMC,Sierra 1500 SLT,2013,230000,E85 Flex Fuel,Automatic,White,Black,None reported,Yes,15500
Lexus,RX 350 F Sport,2017,53649,Gasoline,Automatic,Black,Red,None reported,Yes,33000
Mercedes-benz,GL-Class GL 450 4MATIC,2012,174000,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,11999
INFINITI,QX80 Luxe,2022,49860,Gasoline,Automatic,Black obsidian,Graphite,At least 1 accident or damage reported,Yes,47645
Mercedes-benz,AMG C 63 S,2021,13650,Gasoline,Automatic,Blue,Black,None reported,Yes,75000
BMW,528 i xDrive,2016,134000,Gasoline,Automatic,Brown,Brown,At least 1 accident or damage reported,Yes,13500
Porsche,911 Carrera,2014,78000,Gasoline,Transmission w/Dual Shift Mode,Brown,Brown,None reported,Yes,68000
Porsche,Boxster S,2005,65750,Gasoline,Automatic,Blue,Gray,None reported,Yes,21750
BMW,X6 M Base,2021,18000,Gasoline,Automatic,Black,Black,None reported,Yes,94000
Ford,Mustang Premium,2007,121630,Gasoline,Automatic,White,Black,None reported,Yes,9450
BMW,528 i xDrive,2016,120000,Gasoline,Automatic,White,White,None reported,Yes,16000
Cadillac,Escalade ESV Platinum,2016,168600,Gasoline,Automatic,White,Beige,None reported,Yes,29500
Chevrolet,Corvette Base,2004,43705,Gasoline,Manual,Gray,Black,None reported,Yes,25900
Audi,A5 2.0T Premium,2013,111000,Gasoline,Transmission w/Dual Shift Mode,Blue,Beige,None reported,Yes,11500
Audi,TT 2.0T Premium,2012,64549,Gasoline,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,17000
Buick,LaCrosse CX,2007,53000,Gasoline,Automatic,Red,Gray,None reported,Yes,6500
Chevrolet,Camaro 2SS,2017,13465,Gasoline,Automatic,White,Black,None reported,Yes,44900
BMW,M3 Base,2015,74000,Gasoline,Manual,Gray,Black,None reported,Yes,40000
Kia,Optima LX,2011,100331,Gasoline,Automatic,Red,–,At least 1 accident or damage reported,Yes,6900
Toyota,Supra 3.0 Premium,2022,24850,Gasoline,Automatic,Black,Black,None reported,Yes,53568
Nissan,Pathfinder SL,2015,115000,Gasoline,Automatic,Gray,Black,None reported,Yes,11995
BMW,X5 xDrive50i,2015,72000,Gasoline,Transmission w/Dual Shift Mode,Black,Brown,At least 1 accident or damage reported,Yes,26500
Mazda,MazdaSpeed3 Grand Touring,2008,162000,Gasoline,Manual,Black,Black,At least 1 accident or damage reported,Yes,6500
GMC,Yukon XL SLT,2017,47589,Gasoline,Automatic,Black,Black,None reported,Yes,45500
RAM,ProMaster 2500 High Roof,2018,10339,Gasoline,Automatic,White,Gray,None reported,Yes,36990
RAM,1500 Classic SLT,2021,32092,Gasoline,Automatic,Patriot blue pearlcoat,Black,None reported,Yes,35113
Hyundai,Tucson Limited,2016,138000,Gasoline,Automatic,Brown,Beige,None reported,Yes,10990
Chevrolet,SSR Base,2003,87500,Gasoline,Automatic,Red,Black,None reported,Yes,16999
Maserati,GranTurismo Base,2013,34920,Gasoline,Automatic,Gray,Brown,None reported,Yes,38900
BMW,M2 Base,2018,25000,Gasoline,Automatic,Black,Black,None reported,Yes,52000
Buick,Roadmaster Estate,1996,119500,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,16999
Land,Rover Range Rover 5.0L Supercharged,2017,101800,Gasoline,Automatic,Silver,Black,None reported,Yes,36500
Ford,Expedition Max XLT,2021,84351,Gasoline,Automatic,Blue,Ebony,None reported,Yes,42691
Mercedes-benz,AMG GT 63 S 4-Door,2020,40000,Gasoline,Automatic,Black,Red,None reported,Yes,112500
BMW,230 i,2019,30000,Gasoline,Automatic,Blue,Beige,At least 1 accident or damage reported,Yes,29000
Lexus,ES 350 Base,2007,78980,Gasoline,Automatic,Silver,Beige,At least 1 accident or damage reported,Yes,10600
Maserati,Levante Modena,2023,5409,Gasoline,Automatic,Blu,Black,None reported,Yes,88950
Dodge,Challenger SRT Hellcat,2020,12700,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,69900
Audi,S4 3.0T Premium,2019,12000,Gasoline,Automatic,Black,Black,None reported,Yes,48000
Ford,Mustang GT Premium,2016,25717,Gasoline,Manual,Black,Black,None reported,Yes,33900
Audi,TTS 2.0T Premium Plus,2011,69700,Gasoline,Automatic,Orange,–,At least 1 accident or damage reported,Yes,23000
BMW,M2 Competition,2020,25013,Gasoline,Automatic,Black,Black,None reported,Yes,55000
BMW,740 i,2016,57939,Gasoline,Automatic,Gray,Black,None reported,Yes,27500
Mercedes-benz,AMG GLE 43 Coupe 4MATIC,2018,52694,Gasoline,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,49999
Mercedes-benz,S-Class S 550 4MATIC,2015,54000,Gasoline,Automatic,White,Beige,None reported,Yes,37000
Honda,S2000 Base,2002,110500,Gasoline,Manual,Yellow,Red,None reported,Yes,27000
Chevrolet,Corvette Base,2000,97500,Gasoline,Manual,Yellow,Black,None reported,Yes,10000
Chevrolet,Colorado Z71,2020,20909,Gasoline,Automatic,Red,Jet black,None reported,Yes,35387
Mercedes-benz,S-Class S 63 AMG,2013,77648,Gasoline,Automatic,Silver,Black,None reported,Yes,40000
Bentley,Continental GTC Base,2013,79422,Gasoline,Automatic,Black,Black,None reported,Yes,64000
GMC,Sierra 2500 SLE H/D Extended Cab,2002,53850,Gasoline,Automatic,Silver,Gray,At least 1 accident or damage reported,Yes,16900
Audi,SQ5 3.0T Premium,2020,21832,Gasoline,Automatic,Blue,Black,None reported,Yes,42000
Toyota,Corolla iM Base,2017,41932,Gasoline,Manual,Black,Black,None reported,Yes,18700
GMC,Yukon XL SLT,2017,110000,Gasoline,Automatic,Blue,Black,At least 1 accident or damage reported,Yes,34999
Toyota,Tundra 1794,2020,67400,Gasoline,Automatic,Black,Brown,None reported,Yes,47500
Subaru,WRX Premium,2017,62662,Gasoline,Manual,Red,Black,At least 1 accident or damage reported,Yes,24000
Subaru,WRX Base,2015,102000,Gasoline,Manual,White,Black,At least 1 accident or damage reported,Yes,18000
INFINITI,Q50 Premium,2014,79785,Gasoline,Automatic,Red,White,At least 1 accident or damage reported,Yes,16488
Chevrolet,Suburban Premier,2017,166549,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,24950
Toyota,Sequoia Limited,2006,190656,Gasoline,Automatic,Black,Gray,At least 1 accident or damage reported,Yes,8900
Dodge,Challenger R/T Scat Pack,2016,7928,–,Manual,Red,Red,None reported,Yes,37500
Porsche,Cayenne GTS,2009,135606,Gasoline,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,15000
Kia,Telluride S,2023,14700,Gasoline,Automatic,Blue,Black,None reported,Yes,39900
Mercedes-benz,AMG E 63 S 4MATIC,2019,12985,Gasoline,Automatic,Gray,Black,At least 1 accident or damage reported,Yes,96000
BMW,Z4 sDrive35is,2014,4200,Gasoline,Transmission w/Dual Shift Mode,White,Red,None reported,Yes,64995
Subaru,Impreza 2.0i Sport,2017,44000,Gasoline,Manual,Red,Black,None reported,Yes,23500
Dodge,Dart SE,2015,66000,Gasoline,Manual,Black,Black,None reported,Yes,12000
Nissan,370Z Base,2013,106700,Gasoline,Manual,Red,Black,None reported,Yes,17500
Cadillac,Escalade ESV Luxury,2020,120000,Gasoline,Automatic,Black,Black,None reported,Yes,55000
Mercedes-benz,E-Class E 350,2012,59600,Gasoline,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,19900
Kia,Optima Hybrid EX,2012,117220,Hybrid,Automatic,Black,Black,None reported,Yes,8900
Chevrolet,Silverado 3500 LTZ,2022,85200,Diesel,Automatic,Silver,Gray,None reported,Yes,67500
Volkswagen,Golf GTI 2.0T SE 4-Door,2018,63450,Gasoline,Manual,White,Black,None reported,Yes,24325
Dodge,Ram 1500 SRT-10,2004,73000,Gasoline,Manual,Black,Gray,None reported,Yes,22500
Scion,tC Anniversary Edition,2014,115000,Gasoline,Manual,Silver,Silver,None reported,Yes,11495
Land,Rover Range Rover 5.0L Supercharged Autobiography,2016,56000,Gasoline,Automatic,Black,Brown,None reported,Yes,49900
Chevrolet,Suburban 1500 LT,2015,179200,Gasoline,Automatic,Black,–,At least 1 accident or damage reported,Yes,16000
Maserati,GranTurismo Base,2015,28000,Gasoline,Automatic,White,Red,None reported,Yes,44999
Porsche,911 Carrera Turbo,2003,155000,Gasoline,Manual,Black,Black,None reported,Yes,55000
Hyundai,Sonata Hybrid Base,2012,154000,Hybrid,Automatic,Green,Gray,At least 1 accident or damage reported,Yes,8500
Cadillac,CTS Luxury,2012,62500,Gasoline,Automatic,Red,Beige,At least 1 accident or damage reported,Yes,18955
BMW,323 Ci,2000,177700,Gasoline,Automatic,Silver,Black,None reported,Yes,2500
Chevrolet,1500 Cheyenne Extended Cab,1995,120000,–,Automatic,White,Brown,At least 1 accident or damage reported,Yes,6500
Nissan,370Z Touring,2012,65000,Gasoline,Manual,Gray,Black,None reported,Yes,21500
Ford,Mustang GT Premium,2021,3000,Gasoline,Manual,Red,Black,None reported,Yes,49500
Audi,Q5 2.0T Premium,2012,119000,Gasoline,Automatic,Gray,–,None reported,Yes,12000
RAM,2500 Big Horn,2013,198868,Diesel,Automatic,Brown,Beige,None reported,Yes,25000
Dodge,Ram 1500 ST,2011,188000,Gasoline,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,8500
Mercedes-benz,C-Class C 300 4MATIC Sport,2013,157405,Gasoline,Automatic,Black,Black,None reported,Yes,10750
Dodge,Challenger SRT Hellcat,2016,8228,Gasoline,Automatic,Blue,Black,None reported,Yes,62500
Land,Rover Range Rover 3.0L Supercharged HSE,2018,73101,Gasoline,Automatic,Blue,Beige,None reported,Yes,42950
BMW,M4 Base,2018,10950,Gasoline,Manual,White,White,None reported,Yes,60995
Mercedes-benz,S-Class S 560 4MATIC,2018,63160,Gasoline,Automatic,Black,–,At least 1 accident or damage reported,Yes,47000
Chevrolet,Express 3500 Base,2009,75000,Gasoline,Automatic,White,Gray,None reported,Yes,18900
Toyota,4Runner TRD Pro,2016,98000,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,36000
Mazda,MX-5 Miata Grand Touring,2012,33576,Gasoline,Manual,Red,Beige,None reported,Yes,18900
Volkswagen,Touareg VR6 Lux,2012,123200,Gasoline,Automatic,Gray,Beige,At least 1 accident or damage reported,Yes,12449
Jaguar,XJ Base,2013,112000,Gasoline,Automatic,Blue,White,None reported,Yes,8800
Chevrolet,Camaro 2SS,2010,68000,Gasoline,Automatic,Gray,Gray,At least 1 accident or damage reported,Yes,19500
INFINITI,G37 x,2012,120000,Gasoline,Transmission w/Dual Shift Mode,Red,Black,At least 1 accident or damage reported,Yes,14500
BMW,X6 xDrive50i,2019,45000,Gasoline,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,46999
Chevrolet,Camaro LT1,2022,6700,Gasoline,Automatic,Gray,Black,None reported,Yes,39500
Mercedes-benz,S-Class S 63 AMG,2015,40900,Gasoline,Automatic,White,–,None reported,Yes,59750
Cadillac,Escalade ESV Premium Luxury,2018,74150,Gasoline,Automatic,Gold,Brown,None reported,Yes,45000
Toyota,Camry Hybrid XLE,2014,94448,Hybrid,Automatic,Silver,Gray,None reported,Yes,15999
Audi,A6 3.0T Prestige,2015,108000,Gasoline,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,19998
BMW,X5 M Base,2012,118000,Gasoline,Transmission w/Dual Shift Mode,White,Orange,At least 1 accident or damage reported,Yes,17000
Jaguar,F-PACE SVR,2020,38800,Gasoline,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,57500
BMW,740 i,2017,55000,Gasoline,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,40000
BMW,M340 i xDrive,2021,34967,Hybrid,Automatic,Blue,Beige,At least 1 accident or damage reported,Yes,49999
Jeep,Wrangler Unlimited Sport,2016,85325,Gasoline,Automatic,Black,Black,None reported,Yes,30000
RAM,2500 Tradesman,2018,63750,Gasoline,Automatic,Gray,Gray,None reported,Yes,36000
Ford,Mustang V6,2016,87248,Gasoline,Automatic,Black,Black,None reported,Yes,19999
BMW,328 i,1997,206000,Gasoline,Manual,Red,Black,At least 1 accident or damage reported,Yes,15900
Mercedes-benz,GL-Class GL 450,2011,112854,Gasoline,Automatic,White,Black,None reported,Yes,11999
Mercedes-benz,E-Class E 350,2022,14100,Gasoline,Automatic,Gray,Black,None reported,Yes,53000
BMW,X7 xDrive40i,2023,14360,Hybrid,Automatic,Black,Black,None reported,Yes,85495
Chevrolet,Trailblazer RS,2023,10000,Gasoline,Automatic,Blue,Black,None reported,Yes,32000
Chevrolet,Suburban 1500 LTZ,2015,217500,Gasoline,Automatic,Black,Black,None reported,Yes,20000
Chevrolet,Suburban Premier,2021,73846,Gasoline,Automatic,Midnight blue metallic,Jet black,None reported,Yes,60995
Jeep,Gladiator Overland,2020,40000,Gasoline,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,45000
GMC,Yukon XL AT4,2023,9980,Gasoline,Automatic,Black,Black,None reported,Yes,82000
Mazda,Mazda6 Grand Touring Reserve,2019,41997,Gasoline,Automatic,Black,Black,None reported,Yes,24995
Alfa,Romeo Giulia Ti,2021,2000,Gasoline,Automatic,Blue,Brown,None reported,Yes,39000
Mercedes-benz,CLA-Class CLA 250,2016,42750,Gasoline,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,22999
Volkswagen,Beetle 2.0T S,2019,35340,Gasoline,Automatic,Black,Gray,None reported,Yes,23000
Mercedes-benz,CLK-Class CLK 350,2008,93000,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,12000
Audi,RS 7 4.0T Prestige,2014,66150,Gasoline,Automatic,White,Black,At least 1 accident or damage reported,Yes,47995
Volvo,XC60 Recharge Plug-In Hybrid T8 Inscription,2022,19352,Plug-In Hybrid,Automatic,Blue,Beige,None reported,Yes,54599
Land,Rover Range Rover Supercharged LWB,2020,81000,Gasoline,Automatic,Black,Black,None reported,Yes,64800
Toyota,Sequoia Limited,2011,183000,Gasoline,Automatic,Gold,Beige,None reported,Yes,16000
Jeep,Wrangler X,2004,44000,Gasoline,Manual,Green,Green,At least 1 accident or damage reported,Yes,24999
Audi,S5 3.0T Premium,2021,18100,Gasoline,Automatic,Gray,Gray,None reported,Yes,51800
Land,Rover Range Rover Sport Supercharged,2011,40000,Gasoline,Transmission w/Dual Shift Mode,Blue,Brown,At least 1 accident or damage reported,Yes,20000
Mercedes-benz,Sprinter 2500,2011,120000,Diesel,Automatic,Black,Gray,None reported,Yes,31999
Toyota,Sequoia Platinum,2023,325,Hybrid,Automatic,Blue,Gray,None reported,Yes,84997
Maserati,Quattroporte S GranLusso,2017,55000,Gasoline,Automatic,Blue,Black,None reported,Yes,39100
Toyota,Land Cruiser Base,1996,233000,–,Automatic,Blue,Gray,None reported,Yes,7500
Ford,Mustang Bullitt,2019,48500,Gasoline,Manual,Black,Black,At least 1 accident or damage reported,Yes,44999
RAM,2500 Tradesman,2018,52000,Diesel,Automatic,Gray,Black,None reported,Yes,50000
Toyota,FJ Cruiser Base,2007,179000,Gasoline,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,17900
Dodge,Charger Scat Pack,2019,42626,Gasoline,Automatic,Silver,Red,None reported,Yes,42000
Lexus,GX 460 Base,2018,65900,Gasoline,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,34700
Kia,Sportage S,2021,16949,Gasoline,Automatic,Hyper red,Black,None reported,Yes,24995
Mercedes-benz,S-Class S 580 4MATIC,2022,7968,Hybrid,Automatic,White,White,None reported,Yes,104999
Porsche,Panamera Base,2018,61000,Gasoline,Transmission w/Dual Shift Mode,Gray,Gray,None reported,Yes,57500
Chevrolet,Colorado Z85,2005,155000,Gasoline,Automatic,Blue,Gray,At least 1 accident or damage reported,Yes,7995
Mercedes-benz,E-Class E 550,2017,56000,Gasoline,Transmission w/Dual Shift Mode,Gray,White,None reported,Yes,35750
Toyota,Corolla Hybrid LE,2022,44459,Hybrid,Automatic,Silver,Gray,None reported,Yes,22945
Mercedes-benz,E-Class E 300 4MATIC,2017,31000,Gasoline,Automatic,Blue,White,At least 1 accident or damage reported,Yes,38000
Mercedes-benz,SLK-Class SLK 350,2012,44000,Gasoline,Transmission w/Dual Shift Mode,Gray,White,At least 1 accident or damage reported,Yes,22222
Mercedes-benz,E-Class E 400 4MATIC,2018,22558,Gasoline,Automatic,Black,Black,None reported,Yes,47645
Jeep,Wrangler X,2003,116157,Gasoline,Automatic,Beige,Beige,None reported,Yes,14250
Lincoln,Navigator Premiere,2018,23500,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,50000
Chevrolet,Corvette Base,2008,28150,Gasoline,Transmission w/Dual Shift Mode,Red,Beige,None reported,Yes,31000
GMC,Yukon XL Denali,2016,137500,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,29500
Mercedes-benz,Metris Base,2021,2284,Gasoline,Automatic,Black,Tan,None reported,Yes,157500
Land,Rover Range Rover P530 SE LWB 7 Seat,2023,350,Gasoline,Transmission w/Dual Shift Mode,Black,Beige,None reported,Yes,195000
Ford,Explorer XLT,2017,169000,E85 Flex Fuel,Automatic,White,Beige,None reported,Yes,13000
Chevrolet,Camaro 2SS,2010,8949,Gasoline,Manual,Yellow,Black,None reported,Yes,30000
Land,Rover Range Rover 3.0L Supercharged HSE,2016,103000,Gasoline,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,33999
Porsche,911 Carrera 4 Cabriolet,2003,87600,Gasoline,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,32000
Mercedes-benz,CLA-Class CLA 250,2015,76753,Gasoline,Automatic,Red,Black,At least 1 accident or damage reported,Yes,15999
Mercedes-benz,Metris Base,2019,10500,Gasoline,Automatic,Black,Brown,None reported,Yes,79500
Mercedes-benz,E-Class E 350 4MATIC,2011,199000,Gasoline,Automatic,Silver,Black,None reported,Yes,9250
Lexus,LS 460 L,2007,127980,Gasoline,Automatic,Blue,Beige,None reported,Yes,9999
BMW,X6 xDrive40i,2023,16307,Hybrid,Automatic,Red,White,None reported,Yes,71400
Jaguar,XE 25t,2019,41452,Gasoline,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,Yes,22500
Genesis,G80 3.3T Sport,2019,57500,Gasoline,Automatic,Red,Black,None reported,Yes,32990
BMW,M2 Competition,2020,500,Gasoline,Automatic,Black,Black,None reported,Yes,70000
Subaru,Impreza WRX Premium,2014,55000,Gasoline,Manual,White,Black,None reported,Yes,30000
GMC,Sierra 2500 Base,2021,8210,Gasoline,Automatic,White,Black,None reported,Yes,55000
Mercedes-benz,Sprinter Normal Roof,2013,39748,Diesel,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,54995
Toyota,Land Cruiser Base,1998,160000,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,12490
Toyota,Tacoma PreRunner,2013,65000,Gasoline,Automatic,Silver,Gray,None reported,Yes,20500
BMW,Z4 sDrive28i,2016,59000,Gasoline,Automatic,Black,Beige,None reported,Yes,25000
BMW,530e Base,2022,22700,Plug-In Hybrid,Automatic,White,Black,None reported,Yes,47000
Mercedes-benz,GLA 250 Base 4MATIC,2018,56578,E85 Flex Fuel,Automatic,White,Black,None reported,Yes,20900
Hyundai,Genesis 4.6,2010,153332,Gasoline,Transmission w/Dual Shift Mode,Silver,Black,At least 1 accident or damage reported,Yes,10000
Cadillac,ATS 3.6L Luxury,2013,89700,Gasoline,Automatic,Black,Red,None reported,Yes,17999
Lincoln,Town Car Signature,2002,118600,Gasoline,Automatic,Black,Gray,At least 1 accident or damage reported,Yes,5230
GMC,Sierra 1500 SLT,2021,23400,Gasoline,Automatic,Black,Black,None reported,Yes,52000
Mercedes-benz,Sprinter High Roof,2015,110000,Diesel,Automatic,White,Gray,None reported,Yes,29000
Jaguar,XJ Vanden Plas,2008,87888,Gasoline,Automatic,Black,Black,None reported,Yes,11990
Audi,S3 2.0T Premium Plus,2015,78124,Gasoline,Automatic,Blue,Black,None reported,Yes,21500
Subaru,WRX Limited,2015,91000,Gasoline,Manual,Red,Black,At least 1 accident or damage reported,Yes,19000
Dodge,Ram 2500 SLT Quad Cab,2003,114000,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,10700
Subaru,WRX Limited,2015,76000,Gasoline,Manual,Blue,Black,None reported,Yes,21000
Audi,RS 4 4.2 quattro L,2008,146500,Gasoline,Manual,Red,Black,At least 1 accident or damage reported,Yes,30000
Porsche,911 Carrera,2007,26021,Gasoline,Manual,Silver,Gray,None reported,Yes,53999
Audi,A4 2.0T Premium Plus,2015,73000,E85 Flex Fuel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,17200
Audi,A4 3.2 Premium Plus quattro,2009,153000,Gasoline,Automatic,Gray,Beige,None reported,Yes,8700
Ford,Excursion Limited,2003,67550,Diesel,Automatic,Gold,Beige,None reported,Yes,30000
Ford,Excursion Limited,2004,170000,Gasoline,Automatic,Gold,Gold,None reported,Yes,8500
Land,Rover Range Rover Sport 5.0L Supercharged Dynamic,2017,53000,Gasoline,Transmission w/Dual Shift Mode,Black,Beige,None reported,Yes,47500
Audi,Q8 3.0T Prestige,2019,54900,Hybrid,Automatic,Gold,Black,At least 1 accident or damage reported,Yes,48500
BMW,X5 xDrive35i,2016,89000,Gasoline,Automatic,Black,Black,None reported,Yes,24000
Ford,Bronco Base,2022,6200,Gasoline,Manual,Black,Black,None reported,Yes,49000
Ford,F-150 XLT,2021,51808,Gasoline,Automatic,Silver,Black,None reported,Yes,42388
Hyundai,Genesis Coupe 3.8 Track,2013,89000,Gasoline,Manual,White,Black,At least 1 accident or damage reported,Yes,12500
Toyota,Camry LE,1999,86111,Gasoline,Automatic,Gold,Beige,At least 1 accident or damage reported,Yes,3500
Mercedes-benz,E-Class E 400 4MATIC,2018,45203,Gasoline,Automatic,White,Saddle brown,None reported,Yes,39853
Buick,Enclave Premium,2017,139105,Gasoline,Automatic,Iridium metallic,Light titanium,At least 1 accident or damage reported,Yes,17550
Lamborghini,Gallardo LP560-4,2010,45014,Gasoline,Automatic,Gray,Black,None reported,Yes,109499
Ford,Mustang GT Premium,2011,101000,Gasoline,Manual,Red,Black,None reported,Yes,18500
GMC,Yukon XL SLT,2016,93000,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,30000
Ford,Mustang V6 Premium,2013,62500,Gasoline,Manual,Black,Black,None reported,Yes,16000
Lexus,IS-F Base,2008,75000,Gasoline,Automatic,Blue,Black,At least 1 accident or damage reported,Yes,29000
BMW,435 i,2015,34455,Gasoline,Automatic,Gray,Beige,None reported,Yes,28000
Land,Rover Range Rover Supercharged,2010,130000,Gasoline,Automatic,White,Black,None reported,Yes,15500
Mercedes-benz,CLA-Class CLA 250,2014,76170,Gasoline,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,16500
GMC,Yukon SLT,2010,194500,E85 Flex Fuel,Automatic,White,Beige,At least 1 accident or damage reported,Yes,9500
BMW,535 i,2008,135000,Gasoline,Automatic,Silver,Black,None reported,Yes,5699
Dodge,Charger GT,2021,33000,Gasoline,Transmission w/Dual Shift Mode,White,Gray,At least 1 accident or damage reported,Yes,26999
Hyundai,Genesis 3.8,2010,98700,Gasoline,Transmission w/Dual Shift Mode,Beige,Beige,None reported,Yes,10340
Honda,Civic Type R Touring,2018,72900,Gasoline,Manual,Black,Black,At least 1 accident or damage reported,Yes,35500
Dodge,Durango R/T,2016,135000,Gasoline,Automatic,Black,Black,None reported,Yes,20000
Chevrolet,Silverado 1500 Limited High Country,2022,2550,Gasoline,Automatic,Red,Black,None reported,Yes,60000
Chrysler,Crossfire Limited,2005,24847,Gasoline,Automatic,White,Dark gray,None reported,Yes,13046
Nissan,Rogue SL,2019,29558,Gasoline,Automatic,Magnetic black,Charcoal,None reported,Yes,25884
Mercedes-benz,AMG GT 53 Base,2020,22000,Hybrid,Automatic,Gray,Black,None reported,Yes,83999
Acura,ILX Technology Plus Package,2017,68200,Gasoline,Transmission w/Dual Shift Mode,Black,–,At least 1 accident or damage reported,Yes,15750
Land,Rover Range Rover P530 SE SWB,2023,2800,Gasoline,Automatic,White,Red,None reported,Yes,175000
Ford,Expedition Platinum,2019,51300,Gasoline,Automatic,White,Platinum,None reported,Yes,48295
BMW,M3 Base,2008,133500,Gasoline,Manual,Gray,Black,None reported,Yes,18500
INFINITI,M37 x,2012,49000,Gasoline,Automatic,Gray,Black,None reported,Yes,19900
BMW,650 i,2008,125470,Gasoline,Automatic,Black,Beige,None reported,Yes,8000
Mazda,RX-8 Grand Touring,2008,81219,Gasoline,Manual,Red,Black,None reported,Yes,8500
Porsche,Boxster Base,1999,72000,Gasoline,Manual,Blue,Gray,None reported,Yes,12250
Acura,ILX Premium & A-SPEC Packages,2019,19500,Gasoline,Automatic,Gray,Black,None reported,Yes,25000
Porsche,911 Carrera S,2017,20561,Gasoline,Manual,Red,Black,None reported,Yes,105000
Lexus,LX 570 Base,2016,33655,Gasoline,Automatic,White,Brown,None reported,Yes,62900
Toyota,Highlander Limited Platinum,2015,135140,Gasoline,Automatic,White,Beige,None reported,Yes,23500
Maserati,Ghibli Base,2015,73000,Gasoline,Automatic,Black,Brown,None reported,Yes,17999
Land,Rover Range Rover 3.0L Supercharged HSE,2017,55000,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,58000
Chevrolet,Cruze LTZ,2013,87000,Gasoline,Automatic,Blue,Black,At least 1 accident or damage reported,Yes,10000
BMW,325 xi,2006,137825,Gasoline,Automatic,Silver,Black,None reported,Yes,4000
Acura,MDX Technology,2008,184421,Gasoline,Automatic,Gray,Black,None reported,Yes,5000
Lincoln,MKC Base,2015,95000,Gasoline,Automatic,White,Black,At least 1 accident or damage reported,Yes,14900
Kia,Sportage Nightfall,2022,26468,Gasoline,Automatic,Pacific blue,Black,At least 1 accident or damage reported,Yes,27875
Bentley,Arnage R,2003,55050,Gasoline,Automatic,Gray,Gray,None reported,Yes,34995
Kia,Sorento LX,2021,54200,Gasoline,Automatic,White,Black,None reported,Yes,23800
Lexus,SC 430 Base,2002,109762,Gasoline,Automatic,Blue,Brown,None reported,Yes,15000
Land,Rover Range Rover Evoque Base,2012,92080,Gasoline,Automatic,Gray,Black,None reported,Yes,14500
Acura,TLX Type S w/Performance Tire,2023,1798,Gasoline,Automatic,Black,Black,None reported,Yes,53000
GMC,Sierra 1500 SLE Crew Cab,2006,167500,Gasoline,Automatic,Silver,Black,None reported,Yes,14500
GMC,Sierra 1500 Denali Ultimate,2023,2500,Gasoline,Automatic,White,Brown,None reported,Yes,84000
Mercedes-benz,E-Class E 400,2016,77000,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,24000
mini,Hardtop Cooper,2019,19850,Gasoline,Automatic,Black,Black,None reported,Yes,24000
Ford,Bronco Outer Banks Advanced,2023,3400,Gasoline,Automatic,Gray,Gray,None reported,Yes,57000
Ford,F-350 Lariat Super Duty Crew Cab,2009,130200,Diesel,Automatic,White,Beige,None reported,Yes,28900
Land,Rover Discovery Sport SE,2017,48200,Gasoline,Automatic,White,Gray,None reported,Yes,24998
GMC,Yukon XL SLT,2016,183544,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,22000
